player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Calvin Ridley,TEN,WR,9,,,113.8,17,field-stretching Z,low,field-stretching Z; 39 catches for 568 yards projected
Mike Gesicki,CIN,TE,6,,,112.0,17,blocking TE,low,blocking TE; 43 catches for 450 yards projected
Zach Charbonnet,SEA,RB,11,,,110.2,17,early-down committee back,high,early-down committee back; 128 carries + 19 catches projected
Mason Taylor,NYJ,TE,13,,,110.1,17,move TE,low,move TE; 50 catches for 481 yards projected
Gunnar Helm,TEN,TE,9,,,108.5,17,move TE,low,move TE; 45 catches for 455 yards projected
Adonai Mitchell,NYJ,WR,13,,,108.2,17,big slot,low,big slot; 36 catches for 482 yards projected
Terrance Ferguson,LAR,TE,11,,,105.0,17,blocking TE,low,blocking TE; 37 catches for 440 yards projected
Michael Mayer,LV,TE,13,,,103.0,17,blocking TE,low,blocking TE; 43 catches for 420 yards projected
Minnesota Vikings,MIN,DST,6,,,102.7,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Ty Johnson,BUF,RB,7,,,101.2,17,handcuff,high,handcuff; 52 carries + 29 catches projected
Isiah Pacheco,DET,RB,6,,,100.8,17,early-down committee back,high,early-down committee back; 122 carries + 20 catches projected
Cooper Kupp,SEA,WR,11,,,98.5,17,big slot,low,big slot; 36 catches for 445 yards projected
Chris Rodriguez Jr.,JAC,RB,7,,,97.2,17,early-down committee back,high,early-down committee back; 129 carries + 10 catches projected
Los Angeles Chargers,LAC,DST,7,,,94.4,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Buffalo Bills,BUF,DST,7,,,93.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Justice Hill,BAL,RB,13,,,92.2,17,handcuff,high,handcuff; 51 carries + 28 catches projected
Tyler Allgeier,ARI,RB,14,,,87.5,17,handcuff,high,handcuff; 98 carries + 18 catches projected
Pittsburgh Steelers,PIT,DST,9,,,86.6,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Travis Hunter,JAC,WR,7,,,85.1,17,big slot,low,big slot; 34 catches for 391 yards projected
Brian Robinson Jr.,ATL,RB,11,,,85.0,17,handcuff,high,handcuff; 107 carries + 9 catches projected
Green Bay Packers,GB,DST,11,,,79.3,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Samaje Perine,CIN,RB,6,,,74.2,17,handcuff,high,handcuff; 72 carries + 16 catches projected
Braelon Allen,NYJ,RB,13,,,73.2,17,handcuff,high,handcuff; 91 carries + 10 catches projected
Baltimore Ravens,BAL,DST,13,,,71.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Keaton Mitchell,LAC,RB,7,,,71.1,17,handcuff,high,handcuff; 39 carries + 19 catches projected
Cleveland Browns,CLE,DST,11,,,71.0,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Ray Davis,BUF,RB,7,,,67.5,17,handcuff,high,handcuff; 62 carries + 12 catches projected
Keon Coleman,BUF,WR,7,,,63.7,17,field-stretching Z,low,field-stretching Z; 21 catches for 307 yards projected
Tank Bigsby,PHI,RB,10,,,63.6,17,handcuff,high,handcuff; 87 carries + 5 catches projected
New Orleans Saints,NO,DST,8,,,63.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Emari Demercado,KC,RB,5,,,62.0,17,handcuff,high,handcuff; 51 carries + 19 catches projected
MarShawn Lloyd,GB,RB,11,,,60.5,17,handcuff,high,handcuff; 73 carries + 10 catches projected
Sean Tucker,TB,RB,10,,,60.4,17,handcuff,high,handcuff; 70 carries + 9 catches projected
Tampa Bay Buccaneers,TB,DST,10,,,58.9,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Kimani Vidal,LAC,RB,7,,,58.9,17,handcuff,high,handcuff; 66 carries + 11 catches projected
Mike Washington Jr.,LV,RB,13,,,57.6,17,handcuff,high,handcuff; 85 carries + 7 catches projected
George Holani,SEA,RB,11,,,54.1,17,handcuff,high,handcuff; 58 carries + 11 catches projected
Jaylen Wright,MIA,RB,6,,,53.7,17,handcuff,high,handcuff; 61 carries + 9 catches projected
Chicago Bears,CHI,DST,10,,,53.6,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Jordan James,SF,RB,8,,,43.6,17,handcuff,high,handcuff; 59 carries + 7 catches projected
Indianapolis Colts,IND,DST,13,,,42.7,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
DJ Giddens,IND,RB,13,,,41.5,17,handcuff,high,handcuff; 43 carries + 11 catches projected
Kaleb Johnson,PIT,RB,9,,,14.4,17,handcuff,high,handcuff; 29 carries + 2 catches projected
Trey Benson,ARI,RB,14,,,10.0,17,handcuff,high,handcuff; 23 carries + 0 catches projected
