player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Javonte Williams,DAL,RB,14,34.8,ffcalc-ppr-12tm-2026-07-25,236.3,17,three-down bell cow,low,three-down bell cow; 251 carries + 33 catches projected
Brock Bowers,LV,TE,13,35.8,ffcalc-ppr-12tm-2026-07-25,253.8,17,move TE,low,move TE; 103 catches for 1088 yards projected
Terry McLaurin,WAS,WR,7,36.6,ffcalc-ppr-12tm-2026-07-25,194.7,17,field-stretching Z,high,field-stretching Z; 65 catches for 937 yards projected
Ladd McConkey,LAC,WR,7,36.7,ffcalc-ppr-12tm-2026-07-25,207.6,17,big slot,low,big slot; 76 catches for 956 yards projected
Cam Skattebo,NYG,RB,8,37.6,ffcalc-ppr-12tm-2026-07-25,247.4,17,three-down bell cow,med,three-down bell cow; 262 carries + 46 catches projected
Travis Etienne,NO,RB,8,39.7,ffcalc-ppr-12tm-2026-07-25,226.9,17,three-down bell cow,med,three-down bell cow; 246 carries + 44 catches projected
Jaylen Waddle,DEN,WR,10,40.8,ffcalc-ppr-12tm-2026-07-25,206.7,17,big slot,low,big slot; 72 catches for 987 yards projected
Davante Adams,LAR,WR,11,41.2,ffcalc-ppr-12tm-2026-07-25,221.1,17,big slot,low,big slot; 70 catches for 911 yards projected
Emeka Egbuka,TB,WR,10,45.1,ffcalc-ppr-12tm-2026-07-25,224.6,17,big slot,med,big slot; 78 catches for 1046 yards projected
Malik Nabers,NYG,WR,8,45.2,ffcalc-ppr-12tm-2026-07-25,217.4,17,big slot,low,big slot; 77 catches for 1044 yards projected
Colston Loveland,CHI,TE,10,45.8,ffcalc-ppr-12tm-2026-07-25,193.8,17,move TE,low,move TE; 73 catches for 848 yards projected
Bucky Irving,TB,RB,10,46.5,ffcalc-ppr-12tm-2026-07-25,229.0,17,three-down bell cow,med,three-down bell cow; 261 carries + 39 catches projected
D'Andre Swift,CHI,RB,10,46.9,ffcalc-ppr-12tm-2026-07-25,223.5,17,three-down bell cow,high,three-down bell cow; 233 carries + 39 catches projected
Luther Burden III,CHI,WR,10,47.0,ffcalc-ppr-12tm-2026-07-25,201.9,17,big slot,low,big slot; 70 catches for 926 yards projected
Joe Burrow,CIN,QB,6,47.2,ffcalc-ppr-12tm-2026-07-25,301.3,17,pocket QB,low,pocket QB; 182 rushing yards projected
Jameson Williams,DET,WR,6,49.0,ffcalc-ppr-12tm-2026-07-25,221.0,17,field-stretching Z,med,field-stretching Z; 66 catches for 1088 yards projected
