player,pos,csv_team,nfl_team,age,years_exp,draft_year,draft_overall,draft_club,college,g_2023,g_2024,g_2025,games_played_3yr,games_possible_3yr,games_missed_3yr,seasons_unmatched,avail,avail_basis,inj_weeks_out_3yr,inj_weeks_qd_3yr,missed_off_injury_report,inj_parts_3yr,snap_pct_2025,carries_2025,targets_2025,receptions_2025,tgt_share_2025,rush_yards_2025,rec_yards_2025,pass_yards_2025,contract_value,contract_apy,contract_gtd,contract_free_agent,source
Trey Benson,RB,ARI,ARI,24.1,2,2024,66,ARI,Florida State; Oregon,,12,4,16,34,18,,0.588,history,4,2,14,Knee (3); Ankle (2); Illness (1),48.2,29,16,13,2.6,160,64,0,"$6,059,606","$1,514,902","$1,226,984",2028 UFA,nflverse 2026-07-25
Trey McBride,TE,ARI,ARI,26.8,4,2022,55,ARI,Colorado State,17,16,17,50,51,1,,0.945,history,1,2,0,Groin (1); Concussion (1); Ribs (1),91.4,0,169,126,27.4,0,1239,0,"$76,000,000","$19,000,000","$43,000,000",2030 UFA,nflverse 2026-07-25
Tua Tagovailoa,QB,ATL,ATL,28.5,6,2020,5,MIA,Alabama,17,11,14,42,51,9,,0.819,history,0,3,9,Hip (2); Concussion (1),95.4,20,0,0,,43,0,2660,"$1,215,000","$1,215,000",$0,2027 UFA,nflverse 2026-07-25
Tucker Kraft,TE,GB,GB,25.8,3,2023,78,GB,South Dakota State,14,17,8,39,51,12,,0.783,history,0,2,12,Back (1); Knee (1),86.0,1,44,32,9.6,3,489,0,"$5,537,932","$1,384,483","$1,027,588",2027 UFA,nflverse 2026-07-25
Ty Johnson,RB,BUF,BUF,29.0,7,2019,186,DET,Maryland,9,17,17,43,51,8,,0.838,history,0,1,8,Shoulder (1),29.6,50,33,24,6.9,200,263,0,"$5,000,000","$2,500,000","$2,490,000",2027 UFA,nflverse 2026-07-25
Tyjae Spears,RB,TEN,TEN,25.2,3,2023,81,TEN,Tulane,17,12,13,42,51,9,,0.823,history,4,4,5,Hamstring (3); Concussion (3); Ankle (2),45.9,72,50,45,9.4,283,264,0,"$5,490,602","$1,372,651","$993,164",2027 UFA,nflverse 2026-07-25
Tyler Allgeier,RB,ARI,ARI,26.4,4,2022,151,ATL,BYU,17,17,17,51,51,0,,0.956,history,0,1,0,Hip (1),30.2,143,16,14,3.1,514,96,0,"$12,250,000","$6,125,000","$8,000,000",2028 UFA,nflverse 2026-07-25
Tyler Shough,QB,NO,NO,26.9,1,2025,40,NO,Louisville; Texas Tech; Oregon,,,11,11,17,6,,0.726,history,0,0,6,,83.5,45,0,0,,186,0,2384,"$10,804,728","$2,701,182","$10,804,728",2029 UFA,nflverse 2026-07-25
Tyler Warren,TE,IND,IND,24.3,1,2025,14,IND,Penn State,,,17,17,17,0,,0.919,history,0,2,0,Toe (1); Illness (1),83.8,6,112,76,21.1,8,817,0,"$20,960,650","$5,240,163","$20,960,650",2029 UFA,nflverse 2026-07-25
Tyrone Tracy Jr.,RB,NYG,NYG,26.8,2,2024,166,NYG,Purdue; Iowa,,17,15,32,34,2,,0.902,history,1,2,1,Shoulder (2); Ankle (1),54.5,176,48,36,9.5,740,288,0,"$4,306,352","$1,076,588","$286,352",2028 UFA,nflverse 2026-07-25
Wan'Dale Robinson,WR,TEN,TEN,25.7,4,2022,43,NYG,Kentucky,15,17,16,48,51,3,,0.918,history,1,5,2,Knee (3); Quadricep (1); Ankle (1),90.8,3,140,92,27.8,5,1014,0,"$70,000,000","$17,500,000","$38,000,000",2030 UFA,nflverse 2026-07-25
Woody Marks,RB,HOU,HOU,25.7,1,2025,116,HOU,USC; Mississippi State,,,16,16,17,1,,0.882,history,0,1,1,Ankle (1),53.5,196,36,24,6.5,703,208,0,"$5,203,768","$1,300,942","$1,003,768",2029 UFA,nflverse 2026-07-25
Xavier Worthy,WR,KC,KC,23.4,2,2024,28,KC,Texas,,16,14,30,34,4,,0.871,history,1,3,3,Shoulder (2); Ankle (1); Illness (1),70.6,11,73,42,13.3,87,532,0,"$13,790,264","$3,447,566","$13,790,264",2028 UFA,nflverse 2026-07-25
Zach Charbonnet,RB,SEA,SEA,25.7,3,2023,52,SEA,UCLA; Michigan,16,17,16,49,51,2,,0.926,history,0,4,2,Foot (2); Hamstring (1); Knee (1),46.4,184,24,20,5.3,730,144,0,"$6,876,078","$1,719,020","$3,813,333",2027 UFA,nflverse 2026-07-25
Zay Flowers,WR,BAL,BAL,26.0,3,2023,22,BAL,Boston College,16,17,17,50,51,1,,0.947,history,0,7,1,Calf (2); Shoulder (2); Hip (1),86.5,10,118,86,29.0,62,1211,0,"$14,036,440","$3,509,110","$14,036,440",2028 UFA,nflverse 2026-07-25
