player,pos,csv_team,nfl_team,age,years_exp,draft_year,draft_overall,draft_club,college,g_2023,g_2024,g_2025,games_played_3yr,games_possible_3yr,games_missed_3yr,seasons_unmatched,avail,avail_basis,inj_weeks_out_3yr,inj_weeks_qd_3yr,missed_off_injury_report,inj_parts_3yr,snap_pct_2025,carries_2025,targets_2025,receptions_2025,tgt_share_2025,rush_yards_2025,rec_yards_2025,pass_yards_2025,contract_value,contract_apy,contract_gtd,contract_free_agent,source
Juwan Johnson,TE,NO,NO,30.0,6,2020,,,Oregon; Penn State,13,15,17,45,51,6,,0.871,history,3,5,3,Calf (4); Quadricep (1); Chest (1),75.0,0,102,77,18.1,0,889,0,"$30,750,000","$10,250,000","$21,250,000",2028 Void,nflverse 2026-07-25
KC Concepcion,WR,CLE,CLE,22.0,0,2026,24,CLE,Texas A&M; N.C. State,,,,0,0,,,0.848,position base rate (no NFL history),0,0,,,,,,,,,,,"$19,748,428","$4,937,107","$19,748,428",2030 UFA,nflverse 2026-07-25
Kaleb Johnson,RB,PIT,PIT,23.1,1,2025,83,PIT,Iowa,,,10,10,17,7,,0.706,history,0,0,7,,9.1,28,2,1,0.4,69,9,0,"$6,372,062","$1,593,016","$1,274,228",2029 UFA,nflverse 2026-07-25
Keaton Mitchell,RB,LAC,LAC,24.6,3,2023,,,East Carolina,7,4,13,24,51,27,,0.559,history,1,6,26,Knee (3); Shoulder (2); Hamstring (2),17.5,59,12,9,2.9,341,63,0,"$9,250,000","$4,625,000","$5,000,000",2028 UFA,nflverse 2026-07-25
Kenneth Gainwell,RB,TB,TB,27.5,5,2021,150,PHI,Memphis,16,17,17,50,51,1,,0.941,history,1,0,0,Ribs (1),50.0,114,85,73,16.3,537,486,0,"$14,000,000","$7,000,000","$9,830,000",2028 UFA,nflverse 2026-07-25
Kenneth Walker,RB,KC,KC,25.9,4,2022,41,SEA,Michigan State; Wake Forest,15,11,17,43,51,8,,0.838,history,1,11,7,Oblique (5); Shoulder (2); Ankle (2),49.4,221,36,31,7.9,1027,282,0,"$43,050,000","$14,350,000","$28,700,000",2029 UFA,nflverse 2026-07-25
Keon Coleman,WR,BUF,BUF,23.3,2,2024,33,BUF,Florida State; Michigan State,,13,12,25,34,9,,0.773,history,2,2,7,Wrist (4),62.4,0,59,38,12.3,0,404,0,"$10,074,258","$2,518,565","$9,640,495",2028 UFA,nflverse 2026-07-25
Khalil Shakir,WR,BUF,BUF,26.6,4,2022,148,BUF,Boise State,16,15,16,47,51,4,,0.903,history,1,1,3,Ankle (2),60.6,1,95,72,19.8,5,719,0,"$53,000,000","$13,250,000","$31,800,000",2030 Void,nflverse 2026-07-25
Kimani Vidal,RB,LAC,LAC,25.0,2,2024,181,LAC,Troy,,9,13,22,34,12,,0.706,history,0,2,12,Neck (2),57.2,155,22,16,4.0,643,136,0,"$1,075,000","$1,075,000",$0,2027 RFA,nflverse 2026-07-25
Kyle Monangai,RB,CHI,CHI,24.3,1,2025,233,CHI,Rutgers,,,17,17,17,0,,0.912,history,0,0,0,,40.9,169,30,18,5.6,783,164,0,"$4,328,140","$1,082,035","$128,140",2029 UFA,nflverse 2026-07-25
Kyle Pitts,TE,ATL,ATL,25.9,5,2021,4,ATL,Florida,17,17,17,51,51,0,,0.959,history,0,2,0,Knee (2),88.0,0,118,88,22.7,0,928,0,"$53,000,000","$17,666,667","$36,000,000",2029 Void,nflverse 2026-07-25
Kyler Murray,QB,MIN,MIN,29.1,7,2019,1,ARI,Oklahoma; Texas A&M,8,17,5,30,51,21,,0.642,history,1,6,20,Knee (3); Foot (3); Illness (2),98.8,29,0,0,,173,0,962,"$1,300,000","$1,300,000",$0,2027 UFA,nflverse 2026-07-25
Kyren Williams,RB,LAR,LA,26.0,4,2022,164,LAR,Notre Dame,12,16,17,45,51,6,,0.868,history,1,3,5,Ankle (2); Coach's decision (1); Coach's Decision (1),66.9,259,50,36,8.6,1252,281,0,"$33,000,000","$11,000,000","$23,000,000",2029 UFA,nflverse 2026-07-25
Ladd McConkey,WR,LAC,LAC,24.8,2,2024,34,LAC,Georgia,,16,16,32,34,2,,0.91,history,0,5,2,Knee (2); Hips (1); Hip (1),78.1,0,106,66,19.5,0,789,0,"$9,995,186","$2,498,797","$9,185,943",2028 UFA,nflverse 2026-07-25
Lamar Jackson,QB,BAL,BAL,29.7,8,2018,32,BAL,Louisville,16,17,13,46,51,5,,0.878,history,4,1,1,Hamstring (3); Not injury related - resting player (1); Back (1),92.2,67,0,0,,349,0,2549,"$260,000,000","$52,000,000","$185,000,000",2028 Void,nflverse 2026-07-25
Luther Burden III,WR,CHI,CHI,22.7,1,2025,39,CHI,Missouri,,,15,15,17,2,,0.865,history,2,0,0,Concussion (1); Ankle (1),41.8,6,60,47,11.3,37,652,0,"$10,964,034","$2,741,009","$10,964,034",2029 UFA,nflverse 2026-07-25
Makai Lemon,WR,PHI,PHI,22.3,0,2026,20,PHI,USC,,,,0,0,,,0.848,position base rate (no NFL history),0,0,,,,,,,,,,,"$20,810,386","$5,202,597","$20,810,386",2030 UFA,nflverse 2026-07-25
Malik Nabers,WR,NYG,NYG,23.1,2,2024,6,NYG,LSU,,15,4,19,34,15,,0.655,history,2,3,13,Concussion (2); Groin (1); Hip (1),79.5,0,35,18,7.0,0,271,0,"$29,207,750","$7,301,938","$29,207,750",2028 UFA,nflverse 2026-07-25
Malik Willis,QB,MIA,MIA,27.3,4,2022,86,TEN,Liberty; Auburn,2,6,4,12,51,39,,0.378,history,0,2,39,Shoulder (2),42.2,22,0,0,,123,0,422,"$67,500,000","$22,500,000","$45,000,000",2029 Void,nflverse 2026-07-25
MarShawn Lloyd,RB,GB,GB,25.7,2,2024,88,GB,USC; South Carolina,,1,,1,17,16,2025,0.441,"history, 1 of 3 seasons (no stat line found for 2025)",4,2,12,Calf (3); Hamstring (2); Ankle (1),,,,,,,,,"$5,688,518","$1,422,130","$957,104",2028 RFA,nflverse 2026-07-25
Mark Andrews,TE,BAL,BAL,31.0,8,2018,86,BAL,Oklahoma,10,17,17,44,51,7,,0.856,history,1,2,6,Quadricep (2); Ankle (1),61.7,10,70,48,17.2,48,422,0,"$39,267,000","$13,089,000","$25,944,444",2029 UFA,nflverse 2026-07-25
Marvin Harrison Jr.,WR,ARI,ARI,24.1,2,2024,4,ARI,Ohio State,,17,12,29,34,5,,0.851,history,4,3,1,Heel (4); Illness (3),71.2,0,73,41,11.8,0,608,0,"$35,374,742","$8,843,686","$35,374,742",2028 UFA,nflverse 2026-07-25
Mason Taylor,TE,NYJ,NYJ,22.3,1,2025,42,NYJ,LSU,,,13,13,17,4,,0.801,history,4,2,0,Neck (4); Ankle (1); Quadricep (1),81.1,0,65,44,13.8,0,369,0,"$10,466,192","$2,616,548","$9,559,309",2029 UFA,nflverse 2026-07-25
Matthew Golden,WR,GB,GB,23.1,1,2025,23,GB,Texas; Houston,,,14,14,17,3,,0.836,history,0,6,3,Shoulder (3); Wrist (2); Hip (1),52.9,10,44,29,9.6,49,361,0,"$17,575,338","$4,393,835","$17,575,338",2029 UFA,nflverse 2026-07-25
Matthew Stafford,QB,LAR,LA,38.6,17,2009,1,DET,Georgia,15,16,17,48,51,3,,0.907,history,0,3,3,right Thumb (1); Coach's decision (1); Coach's Decision (1),98.8,29,0,0,,1,0,4707,"$55,000,000","$55,000,000","$90,000,000",2028 Void,nflverse 2026-07-25
Michael Mayer,TE,LV,LV,25.2,3,2023,35,LV,Notre Dame,13,11,13,37,51,14,,0.753,history,9,2,5,Not injury related - personal matter (4); Toe (3); Concussion (2),61.8,0,50,35,10.1,0,328,0,"$9,313,638","$2,328,410","$7,596,697",2027 UFA,nflverse 2026-07-25
Michael Pittman Jr.,WR,PIT,PIT,28.9,6,2020,34,IND,USC,16,16,17,49,51,2,,0.933,history,1,5,1,Back (4); Shoulder (1); Concussion (1),85.5,0,111,80,20.9,0,784,0,"$35,000,000","$17,500,000","$24,000,000",2029 UFA,nflverse 2026-07-25
Michael Wilson,WR,ARI,ARI,26.5,3,2023,94,ARI,Stanford,13,16,17,46,51,5,,0.889,history,2,5,3,Shoulder (5); Neck (1); Hamstring (1),81.4,0,126,78,20.4,0,1006,0,"$5,339,462","$1,334,866","$883,244",2027 UFA,nflverse 2026-07-25
Mike Evans,WR,SF,SF,33.1,12,2014,7,TB,Texas A&M,17,14,8,39,51,12,,0.786,history,7,3,5,Hamstring (8); Collarbone (2),65.6,0,62,30,11.5,0,368,0,"$42,500,000","$14,166,667","$16,300,000",2029 Void,nflverse 2026-07-25
Mike Gesicki,TE,CIN,CIN,30.9,8,2018,42,MIA,Penn State,15,16,12,43,51,8,,0.842,history,1,0,7,Pectoral (1),38.5,0,42,28,6.9,0,307,0,"$25,500,000","$8,500,000","$6,500,000",2028 UFA,nflverse 2026-07-25
Mike Washington Jr.,RB,LV,LV,23.2,0,2026,122,LV,Arkansas; New Mexico State; Buffalo,,,,0,0,,,0.823,position base rate (no NFL history),0,0,,,,,,,,,,,"$5,496,156","$1,374,039","$1,116,156",2030 UFA,nflverse 2026-07-25
Nico Collins,WR,HOU,HOU,27.5,5,2021,89,HOU,Michigan,15,12,15,42,51,9,,0.83,history,2,3,7,Calf (3); Hamstring (1); Concussion (1),75.9,2,120,71,21.7,15,1117,0,"$60,000,000","$30,000,000","$57,000,000",2028 Void,nflverse 2026-07-25
Omar Cooper Jr.,WR,NYJ,NYJ,22.7,0,2026,30,NYJ,Indiana,,,,0,0,,,0.848,position base rate (no NFL history),0,0,,,,,,,,,,,"$17,474,196","$4,368,549","$17,474,196",2030 UFA,nflverse 2026-07-25
Omarion Hampton,RB,LAC,LAC,23.5,1,2025,22,LAC,North Carolina,,,9,9,17,8,,0.676,history,2,1,6,Ankle (3),57.4,124,35,32,6.4,545,192,0,"$17,774,464","$4,443,616","$17,774,464",2029 UFA,nflverse 2026-07-25
Oronde Gadsden,TE,LAC,LAC,23.2,1,2025,165,LAC,Syracuse,,,15,15,17,2,,0.86,history,0,0,2,,61.5,0,69,49,12.7,0,664,0,"$4,574,036","$1,143,509","$374,036",2029 UFA,nflverse 2026-07-25
