franchise,name,role,alloc_mpg,a,expected_team_game_minutes,expected_gp,gp_lo,gp_hi,high_uncertainty,pid,key
BOS,Mike Conley,rotation,17.6,0.7811516869687775,13.748269690650485,53.0,36.0,70.0,True,201144.0,201144
BOS,Mitchell Robinson,rotation,24.6,0.557786297011553,13.721542906484204,56.0,41.0,70.0,True,1629011.0,1629011
BOS,Baylor Scheierman,deep,23.2,0.35,8.12,67.0,55.0,77.0,True,1631248.0,1631248
BOS,Luka Garza,deep,21.5,0.27999999999999997,6.02,62.0,49.0,74.0,True,1630568.0,1630568
BOS,Chris Cenac,deep,14.5,0.17920000000000003,2.5984000000000003,27.0,13.0,42.0,True,,name::BOS::chris cenac
BOS,Ron Harper Jr.,deep,15.6,0.16021203046613963,2.499307675271778,24.0,11.0,39.0,True,1631199.0,1631199
BOS,Dillon Mitchell,deep,14.5,0.14336000000000002,2.07872,22.0,11.0,35.0,True,,name::BOS::dillon mitchell
BOS,Amari Williams,deep,11.8,0.11468800000000003,1.3533184000000005,17.0,7.0,28.0,False,1642873.0,1642873
CHA,Kon Knueppel,starter,32.1,0.9878048780487805,31.708536585365856,72.0,63.0,79.0,True,1642851.0,1642851
CHA,Naz Reid,starter,27.9,0.9252781900329241,25.81526150191858,71.0,61.0,78.0,True,1629675.0,1629675
CHA,Sion James,rotation,23.6,1.0,23.6,69.0,58.0,78.0,True,1642883.0,1642883
CHA,Coby White,starter,28.1,0.8085894504427069,22.721363557440064,62.0,51.0,73.0,True,1629632.0,1629632
CHA,Brandon Miller,starter,32.2,0.6652188439692616,21.420046775810224,60.0,47.0,73.0,True,1641706.0,1641706
CHA,Grayson Allen,rotation,28.7,0.7447229370878986,21.37354829442269,58.0,43.0,72.0,True,1628960.0,1628960
CHA,Ryan Kalkbrenner,rotation,23.8,0.8414634146341463,20.026829268292683,62.0,49.0,74.0,True,1641750.0,1641750
CHA,Moussa Diabaté,starter,27.5,0.6496490231384746,17.86534813630805,69.0,59.0,77.0,True,1631217.0,1631217
CHA,Hannes Steinbach,rotation,21.3,0.72,15.336,62.0,49.0,74.0,True,,name::CHA::hannes steinbach
CHA,Grant Williams,rotation,21.3,0.6038956377810109,12.862977084735531,51.0,36.0,66.0,True,1629684.0,1629684
CHA,Royce O'Neale,deep,28.0,0.35,9.799999999999999,68.0,56.0,78.0,True,1626220.0,1626220
CHA,Tidjane Salaün,deep,18.1,0.22400000000000003,4.054400000000001,35.0,19.0,52.0,True,1642275.0,1642275
CHA,Dorian Finney-Smith,deep,17.6,0.17920000000000003,3.1539200000000007,28.0,14.0,43.0,True,1627827.0,1627827
CHA,Tre Mann,deep,15.6,0.14336000000000002,2.236416,22.0,10.0,35.0,True,1630544.0,1630544
CHA,PJ Hall,deep,14.7,0.11468800000000003,1.6859136000000003,17.0,7.0,28.0,True,1641790.0,1641790
CHA,Mouhamadou Gueye,deep,22.0,0.06048453101980684,1.3306596824357504,14.0,5.0,25.0,True,1631338.0,1631338
CHA,Liam McNeeley,deep,14.1,0.09175040000000002,1.2936806400000003,16.0,6.0,26.0,False,1642862.0,1642862
CHA,Michael Ajayi,deep,12.6,0.08,1.008,16.0,6.0,27.0,False,,name::CHA::michael ajayi
CHA,Christian Anderson,deep,12.6,0.08,1.008,16.0,6.0,27.0,True,,name::CHA::christian anderson
CHA,Kylan Boswell,deep,12.6,0.08,1.008,15.0,6.0,27.0,True,,name::CHA::kylan boswell
CHA,Pat Connaughton,deep,8.7,0.08,0.696,16.0,6.0,27.0,False,1626192.0,1626192
CHI,Matas Buzelis,starter,34.8,0.9469153515064563,32.95265423242468,72.0,63.0,79.0,True,1641824.0,1641824
CHI,Josh Giddey,starter,35.4,0.8005812593285142,28.340576580229403,62.0,50.0,74.0,True,1630581.0,1630581
CHI,Caleb Wilson,starter,30.3,0.85,25.755,68.0,58.0,77.0,True,,name::CHI::caleb wilson
CHI,Isaac Okoro,rotation,30.6,0.7844570708158616,24.004386366965367,61.0,48.0,73.0,True,1630171.0,1630171
CHI,Nic Claxton,starter,29.5,0.7919768837056008,23.363318069315223,66.0,55.0,76.0,True,1629651.0,1629651
CHI,Norman Powell,starter,30.1,0.7563765618446002,22.766934511522468,60.0,48.0,73.0,True,1626181.0,1626181
CHI,Tre Jones,rotation,28.3,0.7522189237497187,21.28779554211704,61.0,48.0,73.0,True,1630200.0,1630200
CHI,Jalen Smith,rotation,23.2,0.6999295654462121,16.23836591835212,60.0,46.0,72.0,True,1630188.0,1630188
CHI,Dailyn Swain,rotation,22.2,0.72,15.983999999999998,63.0,49.0,74.0,True,,name::CHI::dailyn swain
CHI,Patrick Williams,deep,24.0,0.35,8.399999999999999,61.0,47.0,73.0,True,1630172.0,1630172
CHI,Leonard Miller,rotation,18.2,0.3476445038422987,6.327129969929836,52.0,37.0,67.0,True,1631159.0,1631159
CHI,Zach Collins,deep,21.2,0.27999999999999997,5.935999999999999,54.0,38.0,69.0,True,1628380.0,1628380
CHI,Rob Dillingham,deep,18.2,0.22400000000000003,4.0768,45.0,28.0,63.0,True,1642265.0,1642265
CHI,Tobe Awaka,deep,13.1,0.17920000000000003,2.3475200000000003,28.0,13.0,42.0,True,,name::CHI::tobe awaka
CHI,Jaylin Sellers,deep,13.1,0.14336000000000002,1.8780160000000001,22.0,10.0,35.0,True,,name::CHI::jaylin sellers
CHI,Noa Essengue,deep,7.1,0.05,0.355,14.0,5.0,26.0,False,1642855.0,1642855
CLE,Donovan Mitchell,starter,38.5,0.8231361583582653,31.690742096793212,65.0,54.0,75.0,True,1628378.0,1628378
CLE,Evan Mobley,starter,38.5,0.8038378837279051,30.947758523524346,64.0,53.0,74.0,True,1630596.0,1630596
CLE,Jarrett Allen,starter,36.1,0.8372094770789112,30.223262122548697,65.0,54.0,75.0,True,1628386.0,1628386
CLE,Dennis Schröder,rotation,31.3,0.8798617662666027,27.539673284144666,66.0,54.0,76.0,True,203471.0,203471
CLE,Jaylon Tyson,starter,35.7,0.6972740315638452,24.892682926829274,65.0,54.0,75.0,True,1642281.0,1642281
CLE,Sam Merrill,starter,35.3,0.5809654371930104,20.508079932913265,62.0,51.0,74.0,True,1630241.0,1630241
CLE,Craig Porter Jr.,rotation,25.8,0.6877157812674017,17.743067156698967,65.0,52.0,75.0,True,1641854.0,1641854
CLE,Max Strus,rotation,31.0,0.5285680093664777,16.38560829036081,56.0,41.0,71.0,True,1629622.0,1629622
CLE,Thomas Bryant,rotation,18.5,0.6356555437001249,11.75962755845231,63.0,50.0,74.0,True,1628418.0,1628418
CLE,Nae'qwan Tomlin,rotation,23.6,0.4842180774748924,11.427546628407462,64.0,52.0,75.0,True,1641772.0,1641772
CLE,Tyrese Proctor,deep,17.7,0.35,6.194999999999999,59.0,45.0,73.0,True,1642878.0,1642878
